time,cpu,mem,disk
2026-03-23 00:18:56,4,21,6
2026-03-23 00:18:59,0,21,6
2026-03-23 00:19:02,0,21,6
2026-03-23 00:19:05,0,21,6
2026-03-23 00:19:08,0,21,6
2026-03-23 00:19:11,1,21,6
2026-03-23 00:19:14,1,21,6
2026-03-23 00:19:16,1,21,6
2026-03-23 00:19:19,0,21,6
2026-03-23 00:19:22,1,21,6
2026-03-23 00:19:25,1,21,6
2026-03-23 00:19:28,1,21,6
2026-03-23 00:19:31,0,21,6
2026-03-23 00:19:34,0,21,6
2026-03-23 00:19:37,1,21,6
2026-03-23 00:19:40,0,21,6
2026-03-23 00:19:42,2,21,6
2026-03-23 00:19:45,2,21,6
2026-03-23 00:19:48,0,21,6
2026-03-23 00:19:51,0,21,6
2026-03-23 00:19:54,0,21,6
2026-03-23 00:19:57,1,21,6
2026-03-23 00:20:00,1,21,6
2026-03-23 00:20:03,2,21,6
2026-03-23 00:20:05,0,21,6
2026-03-23 00:20:08,1,21,6
2026-03-23 00:20:11,2,21,6
2026-03-23 00:20:14,1,21,6
2026-03-23 00:20:17,0,21,6
2026-03-23 00:20:20,0,21,6
2026-03-23 00:20:23,1,21,6
2026-03-23 00:20:26,0,21,6
2026-03-23 00:20:29,2,21,6
2026-03-23 00:20:31,1,21,6
2026-03-23 00:20:34,0,21,6
2026-03-23 00:20:37,0,21,6
2026-03-23 00:20:40,1,21,6
2026-03-23 00:20:43,0,21,6
2026-03-23 00:20:46,1,21,6
2026-03-23 00:20:49,2,21,6
2026-03-23 00:20:52,0,21,6
2026-03-23 00:20:54,0,21,6
2026-03-23 00:20:57,0,21,6
2026-03-23 00:21:00,1,21,6
2026-03-23 00:21:03,0,21,6
2026-03-23 00:21:06,0,21,6
2026-03-23 00:21:09,1,21,6
2026-03-23 00:21:12,1,21,6
2026-03-23 00:21:15,0,21,6
2026-03-23 00:21:18,0,21,6
2026-03-23 00:21:20,1,21,6
2026-03-23 00:21:23,1,21,6
2026-03-23 00:21:26,1,21,6
2026-03-23 00:21:29,1,21,6
2026-03-23 00:21:32,0,21,6
2026-03-23 00:21:35,1,21,6
2026-03-23 00:21:38,0,21,6
2026-03-23 00:21:41,0,21,6
2026-03-23 00:21:43,1,21,6
2026-03-23 00:21:46,1,21,6
2026-03-23 00:21:49,0,21,6
2026-03-23 00:21:52,0,21,6
2026-03-23 00:21:55,0,21,6
2026-03-23 00:21:58,0,21,6
2026-03-23 00:22:01,1,21,6
2026-03-23 00:22:04,0,21,6
2026-03-23 00:22:07,0,21,6
2026-03-23 00:22:09,1,21,6
2026-03-23 00:22:12,2,21,6
2026-03-23 00:22:15,0,21,6
2026-03-23 00:22:18,1,21,6
2026-03-23 00:22:21,0,21,6
2026-03-23 00:22:24,1,21,6
2026-03-23 00:22:27,6,21,6
2026-03-23 00:22:30,2,21,6
2026-03-23 00:22:32,0,21,6
2026-03-23 00:22:35,0,21,6
2026-03-23 00:22:38,0,21,6
2026-03-23 00:22:41,0,21,6
2026-03-23 00:22:44,1,21,6
2026-03-23 00:22:47,1,21,6
2026-03-23 00:22:50,0,21,6
2026-03-23 00:22:53,1,21,6
2026-03-23 00:22:56,0,21,6
2026-03-23 00:22:58,0,21,6
2026-03-23 00:23:01,4,21,6
2026-03-23 00:23:04,1,21,6
2026-03-23 00:23:07,0,21,6
2026-03-23 00:23:10,0,21,6
2026-03-23 00:23:13,0,21,6
2026-03-23 00:23:16,0,21,6
2026-03-23 00:23:19,0,21,6
2026-03-23 00:23:21,0,21,6
2026-03-23 00:23:24,1,21,6
2026-03-23 00:23:27,0,21,6
2026-03-23 00:23:30,1,21,6
2026-03-23 00:23:33,0,21,6
2026-03-23 00:23:36,0,21,6
2026-03-23 00:23:39,0,21,6
2026-03-23 00:23:42,0,21,6
2026-03-23 00:23:44,1,21,6
2026-03-23 00:23:47,1,21,6
2026-03-23 00:23:50,1,21,6
2026-03-23 00:23:53,0,21,6
2026-03-23 00:23:56,0,21,6
2026-03-23 00:23:59,1,21,6
2026-03-23 00:24:02,1,21,6
2026-03-23 00:24:05,1,21,6
2026-03-23 00:24:08,1,21,6
2026-03-23 00:24:10,0,21,6
2026-03-23 00:24:13,1,21,6
2026-03-23 00:24:16,2,21,6
2026-03-23 00:24:19,1,21,6
2026-03-23 00:24:22,0,21,6
2026-03-23 00:24:25,1,21,6
2026-03-23 00:24:28,0,21,6
2026-03-23 00:24:31,0,21,6
2026-03-23 00:24:34,0,21,6
2026-03-23 00:24:36,0,21,6
2026-03-23 00:24:39,1,21,6
2026-03-23 00:24:42,0,21,6
2026-03-23 00:24:45,1,21,6
2026-03-23 00:24:48,2,21,6
2026-03-23 00:24:51,0,21,6
2026-03-23 00:24:54,0,21,6
2026-03-23 00:24:57,0,21,6
2026-03-23 00:24:59,0,21,6
2026-03-23 00:25:02,0,21,6
2026-03-23 00:25:05,1,21,6
2026-03-23 00:25:08,1,21,6
2026-03-23 00:25:11,0,21,6
2026-03-23 00:25:14,0,21,6
2026-03-23 00:25:17,0,21,6
2026-03-23 00:25:20,0,21,6
2026-03-23 00:25:22,1,21,6
2026-03-23 00:25:25,1,21,6
2026-03-23 00:25:28,1,21,6
2026-03-23 00:25:31,0,21,6
2026-03-23 00:25:34,0,21,6
2026-03-23 00:25:37,0,21,6
2026-03-23 00:25:40,0,21,6
2026-03-23 00:25:43,0,21,6
2026-03-23 00:25:46,0,21,6
2026-03-23 00:25:48,1,21,6
2026-03-23 00:25:51,0,21,6
2026-03-23 00:25:54,0,21,6
2026-03-23 00:25:57,0,21,6
2026-03-23 00:26:00,1,21,6
2026-03-23 00:26:03,0,21,6
2026-03-23 00:26:06,1,21,6
2026-03-23 00:26:09,1,21,6
2026-03-23 00:26:11,0,21,6
2026-03-23 00:26:14,1,21,6
2026-03-23 00:26:17,2,21,6
2026-03-23 00:26:20,1,21,6
2026-03-23 00:26:23,1,21,6
2026-03-23 00:26:26,0,21,6
2026-03-23 00:26:29,0,21,6
2026-03-23 00:26:32,0,21,6
2026-03-23 00:26:35,0,21,6
2026-03-23 00:26:37,0,21,6
2026-03-23 00:26:40,0,21,6
2026-03-23 00:26:43,1,21,6
2026-03-23 00:26:46,1,21,6
2026-03-23 00:26:49,1,21,6
2026-03-23 00:26:52,1,21,6
2026-03-23 00:26:55,0,21,6
2026-03-23 00:26:58,2,21,6
2026-03-23 00:27:00,0,21,6
2026-03-23 00:27:03,1,21,6
2026-03-23 00:27:06,4,21,6
2026-03-23 00:27:09,1,21,6
2026-03-23 00:27:12,1,21,6
2026-03-23 00:27:15,1,21,6
2026-03-23 00:27:18,0,21,6
2026-03-23 00:27:21,0,21,6
2026-03-23 00:27:24,1,21,6
2026-03-23 00:27:26,0,21,6
2026-03-23 00:27:29,4,21,6
2026-03-23 00:27:32,1,21,6
2026-03-23 00:27:35,0,21,6
2026-03-23 00:27:38,0,21,6
2026-03-23 00:27:41,1,21,6
2026-03-23 00:27:44,2,21,6
2026-03-23 00:27:47,1,21,6
2026-03-23 00:27:49,1,21,6
2026-03-23 00:27:52,0,21,6
2026-03-23 00:27:55,0,21,6
2026-03-23 00:27:58,0,21,6
2026-03-23 00:28:01,0,21,6
2026-03-23 00:28:04,1,21,6
2026-03-23 00:28:07,0,21,6
2026-03-23 00:28:10,1,21,6
2026-03-23 00:28:12,0,21,6
2026-03-23 00:28:15,1,21,6
2026-03-23 00:28:18,0,21,6
2026-03-23 00:28:21,1,21,6
2026-03-23 00:28:24,0,21,6
2026-03-23 00:28:27,0,21,6
2026-03-23 00:28:30,0,21,6
2026-03-23 00:28:33,0,21,6
2026-03-23 00:28:36,0,21,6
2026-03-23 00:28:38,0,21,6
2026-03-23 00:28:41,0,21,6
2026-03-23 00:28:44,0,21,6
2026-03-23 00:28:47,0,21,6
2026-03-23 00:28:50,0,21,6
2026-03-23 00:28:53,0,21,6
2026-03-23 00:28:56,0,21,6
2026-03-23 00:28:59,1,21,6
2026-03-23 00:29:01,0,21,6
2026-03-23 00:29:04,0,21,6
2026-03-23 00:29:07,1,21,6
2026-03-23 00:29:10,0,21,6
2026-03-23 00:29:13,0,21,6
2026-03-23 00:29:16,0,21,6
2026-03-23 00:29:19,0,21,6
2026-03-23 00:29:22,0,21,6
2026-03-23 00:29:25,1,21,6
2026-03-23 00:29:27,0,21,6
2026-03-23 00:29:30,0,21,6
2026-03-23 00:29:33,1,21,6
2026-03-23 00:29:36,0,21,6
2026-03-23 00:29:39,1,21,6
2026-03-23 00:29:42,1,21,6
2026-03-23 00:29:45,0,21,6
2026-03-23 00:29:48,0,21,6
2026-03-23 00:29:50,0,21,6
2026-03-23 00:29:53,2,21,6
2026-03-23 00:29:56,5,21,6
2026-03-23 00:29:59,0,21,6
2026-03-23 00:30:02,0,21,6
2026-03-23 00:30:05,0,21,6
